2021-03-11 17:26:04,858 INFO     Opened server Bernard session
2021-03-11 17:26:04,858 DEBUG    Using selector: KqueueSelector
2021-03-11 17:26:04,859 INFO     Bernard serving on ('127.0.0.1', 15402)
2021-03-11 17:27:34,929 INFO     Received from ('127.0.0.1', 65535): IAMAT kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997

2021-03-11 17:27:34,929 INFO     Propagating message to Jaquez: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,930 INFO     Closing connection with Jaquez
2021-03-11 17:27:34,932 INFO     Propagating message to Juzang: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,932 INFO     Closing connection with Juzang
2021-03-11 17:27:34,933 INFO     Propagating message to Campbell: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,933 INFO     Closing connection with Campbell
2021-03-11 17:27:34,933 INFO     Responded to client ('127.0.0.1', 65535): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,933 INFO     Closed the connection with ('127.0.0.1', 65535)
2021-03-11 17:27:34,934 INFO     Received from ('127.0.0.1', 65535): 
2021-03-11 17:27:34,934 ERROR    Invalid message: 
2021-03-11 17:27:34,934 INFO     Responded to client ('127.0.0.1', 65535): ? 
2021-03-11 17:27:34,934 INFO     Closed the connection with ('127.0.0.1', 65535)
2021-03-11 17:27:34,934 INFO     Received from ('127.0.0.1', 49158): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,934 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:27:34,934 INFO     Closed the connection with ('127.0.0.1', 49158)
2021-03-11 17:27:34,935 INFO     Received from ('127.0.0.1', 49161): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,935 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:27:34,935 INFO     Closed the connection with ('127.0.0.1', 49161)
2021-03-11 17:27:34,936 INFO     Received from ('127.0.0.1', 49163): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,936 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:27:34,936 INFO     Closed the connection with ('127.0.0.1', 49163)
2021-03-11 17:28:18,049 INFO     Received from ('127.0.0.1', 49178): WHATSAT kiwi.cs.ucla.edu 10 5

2021-03-11 17:28:18,050 INFO     Attempting to GET from https://maps.googleapis.com/maps/api/place/nearbysearch/json?location=+34.068930,-118.445127&radius=10&key=AIzaSyAI4IRkMeECJEBQCKH6wrRiWu1X4k76xII
2021-03-11 17:28:59,119 ERROR    Error while handling command: 
2021-03-11 17:28:59,120 INFO     Responded to client ('127.0.0.1', 49178): ? WHATSAT kiwi.cs.ucla.edu 10 5

2021-03-11 17:28:59,120 INFO     Closed the connection with ('127.0.0.1', 49178)
2021-03-11 17:28:59,121 INFO     Server Bernard closed.
